name,hourly rate,title,location
Mary Jane P.,"$8.00
/hr",Account Receivable Analyst / Credit Controller,Philippines
Jack B.,"$18.75
/hr",Data Analyst,United States
Braden S.,"$30.00
/hr",Data Analyst,United States
Eryn H.,"$15.00
/hr",New change detection analyst,United States
Gaston R.,"$35.00
/hr",Power BI | Google Data Studio Developer | Oracle DBA,Argentina
Arpit G.,"$20.00
/hr",Business Strategy and Operations Management,India
Irene N.,"$10.00
/hr",Business Intelligence Analyst,Kenya
Sammy S.,"$20.00
/hr",Modeler and Analyst,South Africa
Vidurangana S.,"$5.00
/hr",Experienced pharmacovigilance analyst,Sri Lanka
Badr S.,"$60.00
/hr",Data Science and data Visualization expert,United States
Inah Clarissa S.,"$4.00
/hr",Data Entry Specialist/Admin Assistant/Web Researcher/Data Analyst/CIE,Philippines
Robyn M.,"$75.00
/hr",Microsoft Excel Expert / Data Analyst / Automation Specialist,United States
Will C.,"$73.50
/hr",Better Call Will - The Data Analyst,United States
Tobenna A.,"$50.00
/hr",Complete Data Analysis Expertise | Data Analyst,United States
Philip R.,"$75.00
/hr",PhD end-to-end data analyst,United States
Mitchell A.,"$55.00
/hr",Advanced Growth Analyst and Data Mining Expert,Canada
Igor K.,"$40.00
/hr",Web Analyst and Google Tag Manager Expert,Serbia
Tiago D.,"$60.00
/hr",Data Scientist/Analyst with expertise in NLP,Brazil
Diane W.,"$45.00
/hr","Quantitative Analyst, User Experience Designer, Academic Writer",Canada
Matthew M.,"$65.00
/hr",Expert Data Analyst with Machine Learning Expertise,United States
Rachelle A.,"$50.00
/hr","Data Analyst, Spreadsheet App Developer, Excel Expert",Philippines
Maria Victoria G.,"$70.00
/hr",Digital analytics expert - Business Intelligence analyst,United States
Diego M.,"$89.00
/hr","Power BI Certified - Dashboard Development, Analytics & Visualizations",Argentina
Reinor I.,"$6.25
/hr",Report Analyst - Data Analyst - Data Entry Specialist,Philippines
Rimoun G.,"$24.99
/hr",Junior Data Scientist | Data Analyst | VBA Developer,Qatar
Ayush B.,"$10.00
/hr",Sales Operations Analyst at Quantiphi | Ex- Deloitte India,India
Geraldine M.,"$7.00
/hr",Medical Biller Rep / Claims Analyst / Payment Poster / Data Entry,Philippines
Jeric R.,"$12.00
/hr","Detail-oriented, Versatile VA | Data Analyst | Engineer",Philippines
Lilit M.,"$12.00
/hr",Data Analyst | Data Visualization Expert | Excel Professional,Armenia
Alina D.,"$35.00
/hr",Data Analyst | Marketing Analyst,Israel
Rakesh K.,"$12.00
/hr",Data Analyst || Python|SQL| STATA |Excel |VBA|Web Scraping,India
Mariel D.,"$13.00
/hr","Master Data Analyst-Research, Data Mining, Report & Analysis, Excel",Hungary
Jean S.,"$9.00
/hr",Researcher | Data Analyst | Virtual Assistant | Data Entry,Philippines
Eddy M.,"$20.50
/hr",Data Analyst Expert | Graphic Design | Virtual Executive Assistant,United States
Sathya S.,"$40.00
/hr","Senior Data Analyst - Tableau, AWS Quicksight, Spotfire & SQL",India
Diaa Elhak A.,"$20.00
/hr",Research & Data Analyst | Data Visualization | Presentation Designer,Egypt
Gala I.,"$46.00
/hr",Digital Marketing Analyst | Google Data Studio Expert,Russia
Hemant K.,"$40.00
/hr","Data Analyst-ETL, SQL, Python and Shell scripting",India
Giorgi K.,"$40.00
/hr","Data Analyst, Data Extraction, Web Scraping, ML, Math",Georgia
Samuel P.,"$10.00
/hr",Data Expert,Nigeria
Michael O.,"$3.00
/hr",Data Analyst,Kenya
Thomas M.,"$3.00
/hr",Data Analyst,Philippines
Jan Vincent A.,"$3.00
/hr",QUALITY ANALYST,Philippines
Guile D.,"$15.00
/hr",Data Analyst | Data Annotation Expert,Philippines
David O.,"$35.00
/hr",Brilliant Data Scientist and Data Analyst,United States
Marvin C.,"$5.00
/hr",Data Analytics and Business Process Analyst,Philippines
Frederick G.,"$5.00
/hr",Virtual Assistant/Research and Data Analyst,Philippines
Andrew M.,"$30.00
/hr",Data Analyst | jnr. Data Scientist,Kenya
Hassan M.,"$15.00
/hr",Data analyst,Egypt
Resty B.,"$5.00
/hr",Data Analyst,Uganda
Darwin Silva R.,"$5.00
/hr",Workforce Analyst,Nicaragua
Ankita D.,"$25.00
/hr",Data Analyst,United States
Anurag M.,"$30.00
/hr",Data Analyst,Ireland
Azamat B.,"$10.00
/hr",Data Analyst,Kazakhstan
Arturs G.,"$20.00
/hr",Web Analyst,Latvia
Georginah N.,"$10.00
/hr",Data analyst,Kenya
Tunahan G.,"$15.00
/hr",Data Analyst,United States
Konstantinos X.,"$25.00
/hr",Data Analyst,Greece
Divya S.,"$20.00
/hr",Data Analyst,India
Muhammed K.,"$7.00
/hr",Data Analyst,Pakistan
Abbiegail May S.,"$6.50
/hr",Reporting Analyst,Philippines
Rahul Jyoti N.,"$25.00
/hr",Data Analyst,Germany
Usman T.,"$10.00
/hr",Data Analyst,Pakistan
Alwin C.,"$5.00
/hr",Data Analyst,Philippines
Alex M.,"$9.00
/hr",Data Analyst,Philippines
Sonia K.,"$22.00
/hr",Data Analyst,Germany
Misgana Y.,"$32.00
/hr",Gis Analyst,United States
Abhishek S.,"$10.00
/hr",Marketing Analyst,India
Pallavi N.,"$10.00
/hr",Data Analyst/Voice Over Artist,India
Olumide S.,"$30.00
/hr",Business Analyst and Product Manager,Nigeria
Jovie C.,"$12.00
/hr",Data Analyst/ Web Researcher Specialist,Philippines
Ahmed E.,"$30.00
/hr",(Ph.D) Researcher/Translator/Analyst,Egypt
Honeylene T.,"$6.25
/hr",Amazon FBA Product Researcher/Analyst,Philippines
